电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,宣传语,简介
Accidental Partners,2026,05/08/2026,Comedy,110,91,Spanish; Castilian,Paulina Barros,Ihtzi Hurtado,Overview,Two women discover they were both scammed by the same man (who also got them pregnant). They form an alliance to take revenge.
Swapped,2026,05/01/2026,Adventure,102,89,-,Robert Snow,Nathan Greno,Transform your destiny.,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home."
The Shawshank Redemption,1994,09/23/1994,Drama,142,87,"$25,000,000.00",Stephen King,Frank Darabont,Fear can hold you prisoner. Hope can set you free.,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
Michael,2026,04/24/2026,Music,128,87,"$250,000,000.00",John Logan,Antoine Fuqua,Discover the making of a king.,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career."
The Godfather,1972,03/24/1972,Drama,175,87,"$6,000,000.00",Mario Puzo,Francis Ford Coppola,An offer you can't refuse.,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."
Project Hail Mary,2026,03/20/2026,Science Fiction,157,87,"$200,000,000.00",Christopher Miller,Phil Lord,Believe in the Hail Mary.,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction."
The Godfather Part II,1974,12/20/1974,Drama,202,86,"$13,000,000.00",Mario Puzo,Francis Ford Coppola,The rise and fall of the Corleone empire.,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba."
Schindler's List,1993,12/15/1993,Drama,195,86,"$22,000,000.00",Thomas Keneally,Steven Spielberg,"Whoever saves one life, saves the world entire.",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.
12 Angry Men,1957,04/10/1957,Drama,97,86,"$397,751.00",Sidney Lumet,Reginald Rose,It explodes like 12 sticks of dynamite!,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other."
Remarkably Bright Creatures,2026,05/08/2026,Drama,114,86,-,John Whittington,Olivia Newman,Brighter together.,"Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again."
Protector,2026,03/06/2026,Action,90,85,-,Mun-Bong Seub,Adrian Grünberg,Mother. Savior. Killer...,"Nikki's life is shattered when her daughter is kidnapped. Thrust into the criminal underworld while hunted by cops and military, she must fight to rescue her child."
Spirited Away,2001,09/20/2002,Animation,125,85,Japanese,,Hayao Miyazaki,Beyond the tunnel was a mysterious town.,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family."
The Dark Knight,2008,07/18/2008,Action,152,85,"$185,000,000.00",Bob Kane,Christopher Nolan,Welcome to a world without rules.,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
Dilwale Dulhania Le Jayenge,1995,10/20/1995,Comedy,190,85,Hindi,,Aditya Chopra,"Come… fall In love, all over again…","Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga."
The Green Mile,1999,12/10/1999,Fantasy,189,85,"$60,000,000.00",Stephen King,Frank Darabont,Paul Edgecomb didn't believe in miracles. Until the day he met one.,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution."
¿Quieres ser mi hijo?,2023,09/21/2023,Comedy,100,85,-,,Ihtzi Hurtado,Overview,"Lu, a conformist woman in her forties, learns that her 15-year partner has been having extramarital affairs. Starting from scratch, she gets involved in an unexpected relationship with a young womanizer."
The Lord of the Rings: The Return of the King,2003,12/17/2003,Adventure,201,85,"$94,000,000.00",J. R. R. Tolkien,Peter Jackson,The eye of the enemy is moving.,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​"
Parasite,2019,10/11/2019,Comedy,133,85,Korean,Han Jin-won,Bong Joon Ho,Act like you own the place.,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident."
Your Name.,2016,04/07/2017,Animation,106,85,Japanese,,Makoto Shinkai,"Separated by distance, connected by fate.","High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other."
Interstellar,2014,11/05/2014,Adventure,169,85,"$165,000,000.00",Jonathan Nolan,Christopher Nolan,Mankind was born on Earth. It was never meant to die here.,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
